Date,Open,High,Low,Close,Volume
2024-09-18,1603.7184398013756,1610.7128504422535,1594.2260253601837,1602.71923828125,21935673
2024-09-19,1604.2180450623584,1608.7144519155386,1555.7567712003065,1573.2427978515625,7763911
2024-09-20,1556.755869547526,1565.7486826578777,1532.9118881064155,1534.7734375,15431743
2024-09-23,1523.782269716653,1541.2682957625818,1521.284265995806,1526.2802734375,8966079
2024-09-24,1526.779950256248,1531.276357177814,1512.2915279534236,1529.2779541015625,7337207
2024-09-25,1531.2762477152787,1535.7726543154215,1518.7862293815488,1525.7806396484375,5839947
2024-09-26,1525.78067541937,1537.2714925557964,1511.791854557634,1520.78466796875,7041950
2024-09-27,1523.7821659641602,1540.268989399182,1522.7829645438558,1535.7725830078125,5889331
2024-09-30,1524.7815995082735,1534.7736152324433,1512.616271574958,1515.2891845703125,6971001
2024-10-01,1508.7942172930188,1521.7838363822964,1486.561984620986,1520.2850341796875,7212654
2024-10-02,1512.7910131762474,1516.288218292573,1493.8061854019088,1494.3057861328125,8926413
2024-10-03,1485.8125790677957,1488.310582731326,1454.7773230051348,1459.333740234375,7683345
2024-10-04,1454.8372676858514,1460.8324762065347,1437.8508435439148,1458.33447265625,7532489
2024-10-07,1468.8263434332769,1487.3115729254644,1464.4498355718883,1478.818359375,9307506
2024-10-08,1470.3248250689576,1480.316838830894,1445.344790664116,1451.839599609375,7705294
2024-10-09,1445.8445987151974,1458.8342184686855,1440.3489903579523,1456.8358154296875,8211569
2024-10-10,1558.2545715940355,1558.2545715940355,1498.6122990230388,1503.798095703125,18070475
2024-10-11,1492.807181693412,1501.7999960409627,1476.3203553895692,1478.818359375,8915943
2024-10-14,1481.8158233836568,1499.801450370107,1481.3162226340332,1493.306640625,8340917
2024-10-15,1492.806884765625,1499.8012945336031,1478.1335537268455,1492.806884765625,8575687
2024-10-16,1490.3088915411802,1503.2985097711737,1483.3144817250295,1494.8052978515625,6599984
2024-10-17,1503.2986657588408,1504.857478655145,1490.3090461809977,1495.3050537109375,5831603
2024-10-18,1488.310508169779,1498.802123030996,1464.329674201283,1474.8212890625,7415710
2024-10-21,1472.8228242801188,1476.320029086754,1459.833206426902,1462.830810546875,4097250
2024-10-22,1457.3353628835032,1462.8309710397316,1445.8445458295707,1452.33935546875,4821605
2024-10-23,1452.838836332711,1462.3312496374983,1443.3464230279235,1446.8436279296875,5512204
2024-10-24,1456.3360492964457,1461.332056326622,1448.342438048163,1454.337646484375,2118678
2024-10-25,1446.8437830352518,1451.3401898195466,1433.354562682368,1447.3433837890625,6754812
2024-10-28,1438.8499160640497,1460.129903874491,1430.356704753949,1450.84033203125,11473043
2024-10-29,1451.8397445967803,1460.8325578805868,1448.3425394308554,1450.3409423828125,9466880
2024-10-30,1398.8820545708954,1450.8405308835288,1381.2151431738696,1405.87646484375,15884461
2024-10-31,1395.3849898661915,1400.3809977067438,1371.4041522315415,1391.38818359375,15719359
2024-11-01,1413.3704478393856,1434.353678242091,1408.374440600646,1418.366455078125,7253164
2024-11-04,1409.3735227679265,1419.865137081335,1407.8747207231536,1412.8707275390625,4842548
2024-11-05,1412.870826186613,1413.3704269030864,1386.3919882135258,1390.3887939453125,4813164
2024-11-06,1389.8893940538353,1414.3698326982055,1366.907757775447,1369.40576171875,15645649
2024-11-07,1373.9021854124207,1383.8942013063293,1367.65815126153,1378.898193359375,8670484
2024-11-08,1394.8852387027064,1397.8828430838726,1365.9083963514324,1379.897216796875,10147307
2024-11-11,1383.8939822394248,1405.8764137262604,1380.3967772301555,1395.8843994140625,5622577
2024-11-12,1374.9011814302664,1380.077098557476,1351.7796454720904,1368.4063720703125,8566999
2024-11-13,1371.9035692929172,1375.41772853652,1351.4199398897815,1360.912353515625,12351365
2024-11-14,1352.5682373046875,1364.286117192483,1342.5751214029167,1352.5682373046875,8668690
2024-11-15,1313.0954207025245,1324.7293739531085,1281.6171058226694,1300.1043701171875,13983908
2024-11-18,1311.0967676526718,1319.0912601383588,1298.1057173634304,1309.09814453125,12017663
2024-11-19,1317.592211548835,1321.589457545191,1293.608735570699,1302.6025390625,16253283
2024-11-20,1305.6007507324218,1309.0983417217549,1298.605568753756,1299.105224609375,15269416
2024-11-21,1299.104687201699,1324.737046388735,1299.104687201699,1308.59814453125,5884491
2024-11-22,1324.087874615779,1341.575827676742,1318.591660796619,1341.076171875,7504910
2024-11-25,1340.0769061100248,1351.5689899431832,1334.580692102862,1345.5731201171875,12017864
2024-11-26,1347.0718499655502,1350.5734656271045,1336.0794238901638,1337.0787353515625,5805074
2024-11-27,1342.0753954932804,1346.5722974141438,1333.08561719852,1343.07470703125,4017467
2024-11-28,1341.575771560868,1346.5723293692886,1330.0836886015013,1339.5771484375,4238885
2024-11-29,1329.0843748171233,1339.077490417252,1323.2284237138006,1334.0809326171875,4678466
2024-12-02,1334.0810125566354,1344.5737845655078,1331.0830776969576,1340.5765380859375,5012839
2024-12-03,1340.0766954923931,1371.0553513911732,1340.0766954923931,1367.05810546875,7976947
2024-12-04,1365.059688689172,1367.05831195226,1346.072767689835,1354.0672607421875,14432393
2024-12-05,1344.5737845655078,1355.0665565743802,1328.9614922851936,1340.5765380859375,6605516
2024-12-06,1342.575051262265,1354.2330352784622,1337.5784935724168,1343.07470703125,10897195
2024-12-09,1349.0705709395336,1389.043032300705,1344.573669036402,1382.0478515625,7304631
2024-12-10,1384.0465264308225,1397.53723264513,1372.554443359375,1372.554443359375,6016716
2024-12-11,1363.0609701370756,1367.058216383812,1339.077492656658,1339.5771484375,15020689
2024-12-12,1335.0801659717015,1339.3451718342626,1328.839470524436,1333.08154296875,6664430
2024-12-13,1332.5819630301864,1335.080241926006,1321.58953588858,1328.584716796875,5497727
2024-12-16,1320.5901757775496,1329.0843237110412,1309.59774904009,1318.591552734375,8010399
2024-12-17,1302.1029078823642,1344.073991636055,1299.6046290875015,1332.5819091796875,7821868
2024-12-18,1336.5791332239155,1339.077411977605,1324.5873952062054,1333.08154296875,6644940
2024-12-19,1326.086278872122,1332.581803222287,1314.5941973295226,1321.0897216796875,7849986
2024-12-20,1307.5993462302467,1322.589021578702,1301.603476090865,1319.0914306640625,13999848
2024-12-23,1318.5915261973505,1337.0787889746532,1316.592903194399,1333.08154296875,3702581
2024-12-24,1340.5763817958398,1346.0725950644771,1338.5777587890625,1338.5777587890625,1960702
2024-12-27,1337.0787818610336,1344.2987830235306,1334.0808473725558,1341.57568359375,3344268
2024-12-30,1340.5763792298187,1345.0732809864598,1329.5839527135847,1333.08154296875,4697717
2024-12-31,1330.0837897333654,1346.5724317548534,1328.0851664580334,1345.5731201171875,1742481
2025-01-02,1344.0741027316494,1369.056892745249,1341.0761679300174,1360.562744140625,4493694
2025-01-03,1362.56133673369,1367.0582388351213,1336.579235703198,1339.0775146484375,3512906
2025-01-06,1338.078151684507,1348.5709228515625,1325.0871016681526,1348.5709228515625,15496097
2025-01-07,1346.0726584081492,1365.5592336412292,1335.5798871287982,1356.5654296875,5802616
2025-01-08,1355.566130245433,1361.5619996014764,1341.5757684146656,1359.063720703125,3762536
2025-01-09,1354.0671363200202,1360.5626613281977,1347.571611311843,1348.5709228515625,4770209
2025-01-10,1344.0740209228245,1356.0657593994592,1342.575053613245,1348.5709228515625,4789106
2025-01-13,1337.0789214377114,1341.5758236398565,1328.0851170334215,1330.083740234375,5573791
2025-01-14,1328.584713069177,1330.583336180225,1288.1125950704543,1292.6094970703125,8300847
2025-01-15,1306.100173151336,1327.085715336629,1303.102238553437,1326.5860595703125,7776415
2025-01-16,1331.5826701163185,1348.0713110595975,1331.0830143301584,1347.5716552734375,5918138
2025-01-17,1365.059634266924,1375.9271478266992,1354.566862554038,1358.064453125,10274549
2025-01-20,1355.5661500285612,1368.372269294991,1351.069247945901,1353.06787109375,3752890
2025-01-21,1353.0679171003749,1361.5620657675486,1346.8441770814295,1357.5648193359375,4656261
2025-01-22,1358.0642404137657,1361.5618304369063,1345.4579364178323,1354.566650390625,3749460
2025-01-23,1352.0683870388991,1366.558403012339,1352.0683870388991,1362.5611572265625,11974199
2025-01-24,1364.060064892992,1369.2614368297848,1352.068328058768,1355.56591796875,5012275
2025-01-27,1364.0602627698431,1405.5667020645678,1364.0602627698431,1401.0347900390625,9362065
2025-01-28,1401.0346941863738,1415.0250548986487,1386.544677734375,1386.544677734375,8877682
2025-01-29,1386.544717000834,1402.0340453709332,1378.050569184973,1399.5357666015625,13830830
2025-01-30,1391.5413303348034,1401.0347900390625,1381.0485590827277,1401.0347900390625,6672399
2025-01-31,1403.0332813195062,1410.028461497025,1398.2415389828516,1404.0325927734375,13746432
2025-02-03,1399.535854586457,1405.5317240098907,1387.0444599543036,1397.5372314453125,5853806
2025-02-04,1386.5446405825408,1399.310868787679,1358.5639199077218,1379.0498046875,15530678
2025-02-05,1434.011965356692,1489.4737521701388,1429.515063723169,1483.9775390625,14173830
2025-02-06,1498.967332185705,1503.953887085207,1474.9838548707332,1478.4814453125,10080597
2025-02-07,1439.0086570945946,1473.4849061708194,1437.0600483326225,1442.006591796875,13504243
2025-02-10,1443.505425819233,1477.4820159735104,1440.0078356562926,1464.490966796875,5809349
2025-02-11,1461.992800853638,1467.489014390682,1438.0093236010837,1442.5062255859375,5472759
2025-02-12,1434.012133113241,1446.5464671709133,1421.0210824299847,1444.0052490234375,6392034
2025-02-13,1447.502739251052,1449.001706533673,1432.5130664248416,1443.5054931640625,6461439
2025-02-14,1438.0093311907938,1440.507610084454,1430.0148387310812,1434.0120849609375,5980999
2025-02-17,1432.5130663821712,1432.5170919290726,1405.0319995349373,1418.522705078125,4423734
2025-02-18,1419.0224257460586,1448.502116985149,1414.525523692638,1442.006591796875,6033704
2025-02-19,1442.0064670516304,1446.0037129755435,1434.0119752038042,1436.51025390625,5496067
2025-02-20,1424.6772046725175,1447.1642177241708,1412.6841310449693,1446.164794921875,11416014
2025-02-21,1418.1808217544503,1436.6701418407486,1401.670339108765,1428.175048828125,10600239
2025-02-24,1448.1635195077183,1458.6574580548756,1439.9082780906338,1451.6614990234375,5069844
2025-02-25,1451.6615709408309,1488.6402133675508,1451.161859556686,1482.6436767578125,12448479
2025-02-26,1495.6360453246157,1500.1334473987624,1462.655096780872,1466.153076171875,13553338
2025-02-27,1445.6649865497063,1463.654595784338,1444.1658524468205,1460.1566162109375,8180457
2025-02-28,1461.655629701351,1477.646392145947,1459.157073069383,1465.6533203125,18309624
2025-03-03,1467.6523455651718,1500.1335857632434,1466.6529227898466,1478.64599609375,6544613
2025-03-04,1473.1492297840562,1523.6200819577975,1471.150384153413,1508.1290283203125,9446777
2025-03-05,1486.6412007800643,1494.1368706999642,1473.6527322468248,1482.143798828125,7701162
2025-03-06,1481.1444687708265,1506.629748091782,1473.1490870230757,1499.6337890625,10557852
2025-03-07,1505.1306648900954,1539.1110384666315,1495.6361487437102,1533.114501953125,8914164
2025-03-10,1528.1173709383522,1559.5991872788088,1526.618236826902,1557.600341796875,26729072
2025-03-11,1546.6066943246644,1557.600344494339,1504.630939131362,1515.1248779296875,13728194
2025-03-12,1515.6244711242266,1522.620429777619,1484.1426571839606,1489.1397705078125,9995623
2025-03-13,1489.1399604944963,1507.6292821516429,1483.6431351369663,1498.134765625,11176848
2025-03-14,1498.6343246045924,1513.125953618775,1494.6366338420594,1510.127685546875,7108865
2025-03-17,1514.1254043579102,1536.6124153137207,1508.1288681030271,1535.11328125,6922581
2025-03-18,1537.1123373671137,1540.6103173286122,1527.6178203287602,1530.6160888671875,8141666
2025-03-19,1517.62355575815,1524.572545570036,1491.1388509655314,1504.13134765625,10068477
2025-03-20,1502.132304021809,1521.6210464891576,1499.6337472952257,1510.127685546875,13843851
2025-03-21,1513.1261423969206,1528.6171960344057,1503.6316256513653,1508.1290283203125,20824917
2025-03-24,1516.1243510955912,1516.1243510955912,1480.0671732573596,1484.142822265625,7647400
2025-03-25,1486.6413460445276,1511.626914885612,1484.6425005372407,1485.1422119140625,9504295
2025-03-26,1482.14398629768,1483.1434090800788,1453.471581229393,1474.6483154296875,6531939
2025-03-27,1472.1495707090735,1481.7690137627565,1463.6544781421849,1476.64697265625,5389968
2025-03-28,1477.146808310327,1490.6390152874512,1474.4983136518854,1487.6407470703125,5749188
2025-03-31,1478.1461919740188,1482.1438828245234,1452.16120144574,1461.156005859375,9532133
2025-04-01,1495.6363510848553,1496.635773972316,1464.154530129845,1468.1522216796875,8622454
2025-04-02,1439.6685671372245,1448.6633724855303,1413.1838625005448,1432.672607421875,7781741
2025-04-03,1441.6673292864796,1485.641930665062,1441.6673292864796,1464.654052734375,12590773
2025-04-04,1458.6575186270254,1468.6517462298143,1412.1843602740576,1416.6817626953125,10584485
2025-04-07,1376.7047673797322,1380.7024581743012,1323.2356530023703,1330.7313232421875,20251028
2025-04-08,1336.7279280392547,1360.7140740377165,1324.235143665056,1339.7261962890625,17967315
2025-04-09,1294.752203108389,1308.744121937812,1241.7827961112878,1263.2703857421875,19854588
2025-04-10,1323.2357540594362,1335.728538746553,1274.2640380859375,1274.2640380859375,17010637
2025-04-11,1278.7613010318055,1299.24946568296,1267.0471206686043,1293.2529296875,18823224
2025-04-14,1313.7413116858902,1327.7332313234729,1293.253143645144,1321.7366943359375,9809611
2025-04-15,1326.233990197373,1354.2178272173628,1325.234567446659,1345.2230224609375,7277404
2025-04-16,1334.7291605881005,1351.2196369263286,1326.234066716892,1344.723388671875,6578428
2025-04-17,1331.2311132154882,1337.227649761504,1262.770654315142,1335.728515625,26509202
2025-04-22,1350.2200951933337,1362.213167837538,1328.732506705801,1361.2137451171875,15059103
2025-04-23,1369.2091746949216,1388.1982070447052,1359.7146585200298,1378.2039794921875,11614773
2025-04-24,1391.696056437116,1395.203063741027,1372.2073145336878,1393.1951904296875,9805681
2025-04-25,1393.1954785999933,1397.193170073738,1380.2029813103234,1388.1983642578125,7504582
2025-04-28,1395.1941498430847,1412.782989728897,1393.1953043562037,1408.1866455078125,5335649
2025-04-29,1425.6765148653,1434.671319375491,1403.189503589822,1431.17333984375,9851339
2025-04-30,1449.6627254042514,1504.6309776601863,1426.6760017335876,1482.6436767578125,15145047
2025-05-01,1467.652220302955,1478.6458698932388,1449.6626118824893,1462.1553955078125,5518378
2025-05-02,1449.1629524481143,1477.6465001341635,1446.1646842706357,1447.663818359375,7904765
2025-05-06,1449.662797346444,1469.1515422952589,1438.6691463496768,1449.1630859375,5967410
2025-05-07,1389.197629799957,1403.6892597511076,1372.7071543383029,1378.2039794921875,8343337
2025-05-08,1366.7106261491076,1383.2011017114187,1355.6170578980682,1363.212646484375,8730270
2025-05-09,1378.7036794783633,1388.7598828706032,1366.710606514434,1376.704833984375,6894239
2025-05-12,1339.226485044882,1404.688675172076,1327.733123419497,1398.692138671875,10821571
2025-05-13,1407.6870388205168,1411.1850186826905,1354.2179180701455,1357.2161865234375,8414733
2025-05-14,1354.2178519753847,1383.7008236604577,1353.7781645169591,1359.2149658203125,7977140
2025-05-15,1337.3850397792432,1364.372630268062,1336.3854993907685,1361.873779296875,6957104
2025-05-16,1387.8617667290164,1402.8548718791317,1379.865443982288,1393.8590087890625,9853322
2025-05-19,1394.858735890018,1403.3548299459587,1386.3626418340775,1395.8582763671875,11004991
2025-05-20,1404.8538405277925,1426.3439561957734,1400.3559093414706,1414.8492431640625,7106313
2025-05-21,1421.846098999877,1434.3403529453944,1416.84839742167,1429.3426513671875,6028115
2025-05-22,1426.3441952126902,1444.3359229729065,1415.8490206858976,1427.843505859375,7562460
2025-05-23,1440.3377249245057,1447.3345077659155,1417.8480657914026,1424.8448486328125,6000623
2025-05-27,1435.3399880762258,1462.6284654151175,1435.3399880762258,1447.33447265625,7238131
2025-05-28,1443.8360023538094,1455.8304862778284,1436.6532704238862,1445.8350830078125,6234036
2025-05-29,1450.3329869364643,1458.3293094006217,1433.340801700131,1455.3306884765625,6679720
2025-05-30,1462.8273659284018,1516.302776982156,1458.3294341575252,1506.307373046875,23132350
2025-06-02,1512.3045729132334,1526.2981380294166,1505.8075605378624,1516.302734375,9108119
2025-06-03,1511.804866084346,1517.802108528317,1475.0717561150238,1484.3175048828125,9061321
2025-06-04,1482.818059101641,1500.3100146353645,1475.8212768881515,1493.313232421875,5213601
2025-06-05,1499.310569157676,1512.304594090376,1491.8140163118878,1511.3050537109375,6136545
2025-06-06,1508.8061741679533,1520.8006584938992,1503.308702185228,1512.3045654296875,7337013
2025-06-09,1511.8049100821504,1516.3777587730772,1502.8090461543889,1508.3065185546875,3847004
2025-06-10,1499.8101962819412,1511.304909549014,1490.814333725102,1507.8065185546875,17136734
2025-06-11,1515.3031444286564,1527.7973985878637,1507.3068217667635,1522.2999267578125,15815612
2025-06-12,1524.7988723208343,1556.2843947581378,1522.7997915311644,1548.787841796875,7395989
2025-06-13,1535.7938075745458,1553.7855345750936,1508.3064468792645,1510.8052978515625,9549960
2025-06-16,1497.8111627733454,1506.307255455076,1484.3173685141262,1484.817138671875,9117271
2025-06-17,1481.8185529966613,1484.8171740145297,1464.1866467698906,1479.3197021484375,12363192
2025-06-18,1463.8267221809378,1469.823963787688,1442.8363765573122,1448.8336181640625,8649492
2025-06-19,1431.8416031362287,1443.272382132143,1423.3455098540942,1434.3404541015625,5124382
2025-06-20,1439.8378801369624,1444.8355819076564,1399.3564957943404,1401.8553466796875,24023738
2025-06-23,1400.356143747494,1414.84947999613,1397.357522454673,1402.355224609375,10650109
2025-06-24,1409.351806640625,1422.8456005339926,1402.714844483961,1409.351806640625,13353271
2025-06-25,1404.853952565814,1414.2666161701472,1393.8590087890625,1393.8590087890625,6551029
2025-06-26,1394.8586569290435,1404.8540611349126,1388.861414405522,1394.35888671875,12916831
2025-06-27,1392.8595193478188,1410.8512461854657,1392.8595193478188,1404.85400390625,4971977
2025-06-30,1393.8590155512309,1405.353729555418,1384.363382243424,1389.361083984375,8874664
2025-07-01,1384.3633490908462,1414.8493289805724,1383.2238584794936,1411.8507080078125,11687307
