Date,Open,High,Low,Close,Volume
2024-09-19,4.300000190734863,4.310500144958496,4.269499778747559,4.285999774932861,566
2024-09-20,4.316999912261963,4.317999839782715,4.261000156402588,4.281499862670898,276
2024-09-23,4.249499797821045,4.297500133514404,4.248000144958496,4.289000034332275,755
2024-09-24,4.300000190734863,4.429500102996826,4.300000190734863,4.429500102996826,431
2024-09-25,4.453000068664551,4.453000068664551,4.423999786376953,4.427999973297119,563
2024-09-26,4.478499889373779,4.580999851226807,4.478499889373779,4.580999851226807,1237
2024-09-27,4.566999912261963,4.589499950408936,4.520999908447266,4.540999889373779,1128
2024-09-30,4.610000133514404,4.610000133514404,4.465000152587891,4.495999813079834,416
2024-10-01,4.51200008392334,4.538000106811523,4.511000156402588,4.5355000495910645,748
2024-10-02,4.576499938964844,4.605500221252441,4.56850004196167,4.5960001945495605,469
2024-10-03,4.611000061035156,4.611000061035156,4.475500106811523,4.501999855041504,407
2024-10-04,4.504499912261963,4.551000118255615,4.504499912261963,4.522500038146973,440
2024-10-07,4.513999938964844,4.519000053405762,4.495500087738037,4.519000053405762,413
2024-10-08,4.427999973297119,4.433000087738037,4.406499862670898,4.412000179290772,504
2024-10-09,4.390500068664551,4.390500068664551,4.355000019073486,4.355000019073486,425
2024-10-10,4.376999855041504,4.402500152587891,4.376999855041504,4.385000228881836,259
2024-10-11,4.4054999351501465,4.451499938964844,4.4054999351501465,4.451499938964844,336
2024-10-14,4.349999904632568,4.39900016784668,4.34499979019165,4.363500118255615,398
2024-10-15,4.364500045776367,4.364500045776367,4.293000221252441,4.30049991607666,614
2024-10-16,4.318999767303467,4.3354997634887695,4.314000129699707,4.331500053405762,430
2024-10-17,4.34499979019165,4.34499979019165,4.284999847412109,4.286499977111816,345
2024-10-18,4.352000236511231,4.370999813079834,4.333000183105469,4.3460001945495605,406
2024-10-21,4.351500034332275,4.351500034332275,4.318999767303467,4.322999954223633,425
