Date,Open,High,Low,Close,Volume
2024-09-18,492.39836631282685,497.097408612101,491.0986467890006,495.8976440429688,42135092
2024-09-19,500.496645611184,526.1293220278195,498.787983584404,524.8916015625,78255862
2024-09-20,518.6929332474349,527.8910470289671,517.1572394615616,526.0914306640625,79866788
2024-09-23,523.2919919316902,532.7720294276775,521.6922855664619,530.090576171875,36149488
2024-09-24,532.090152603922,535.2414794947441,520.2926006282134,526.4912719726562,15285783
2024-09-25,521.8922810954789,531.9342147815245,520.492545587731,531.6902465820312,15307529
2024-09-26,534.6896334034415,535.8504045745096,525.6914905267182,526.6912841796875,22057448
2024-09-27,518.8928404017857,527.9369931486675,518.292988694736,524.8916015625,21008974
2024-09-30,521.692337203225,528.5809303986966,521.0924853959904,527.0912475585938,44755384
2024-10-01,525.4914730376307,535.6394021252748,524.4916794732345,524.691650390625,41290181
2024-10-02,523.6919003665067,528.0910168246196,513.8939348253222,518.6929321289062,30582680
2024-10-03,520.492569992355,533.6898588893346,520.2926600726415,533.2899780273438,60925009
2024-10-04,532.49004418588,533.4898377806883,521.2924047420736,530.090576171875,15743256
2024-10-07,532.8899752590866,535.2895042471371,524.8916266623272,526.4912719726562,12232854
2024-10-08,524.2917981050915,531.8902051989091,522.8920626297547,527.4910888671875,12509671
2024-10-09,528.6908836030733,532.6900583066102,519.8927114598046,530.8904418945312,12199288
2024-10-10,530.0906569891171,535.4895066106517,522.4921878965818,529.8906860351562,24238948
2024-10-11,531.2903812749404,537.0891723632812,522.6921190892407,537.0891723632812,18691366
2024-10-14,533.4898623620298,538.8887724317808,526.69127780859,538.4888305664062,52657431
2024-10-15,539.8886125283526,549.8865497973962,532.4901145402339,540.4884643554688,27193128
2024-10-16,547.6869653563481,559.8844604492188,546.6871716769745,559.8844604492188,29877663
2024-10-17,560.0844568210623,572.6818333441466,560.0844568210623,568.8826293945312,20843399
2024-10-18,563.2838448654212,568.0828428458392,557.2850821342562,567.2830200195312,43804291
2024-10-21,566.0831728955465,572.2819056869263,561.884027390253,566.8829956054688,17624936
2024-10-22,567.6828424309996,571.0821653707767,561.084228515625,561.084228515625,14742396
2024-10-23,560.6843278537035,564.8834738460996,556.0853009712405,561.2842407226562,30531262
2024-10-24,558.8846927279162,561.2842220788873,550.2864910949747,554.685546875,97142083
2024-10-25,551.8861203841067,563.4837028527179,551.8861203841067,556.0852661132812,65456573
2024-10-28,558.2847755753244,563.6836244494286,554.8854528963053,560.2843627929688,79329459
2024-10-29,562.483883879321,564.0835903351284,541.2883072872869,554.4855346679688,25733085
2024-10-30,554.4854754432821,558.4846496218057,546.8870689131093,555.0853881835938,31563845
2024-10-31,551.0862784285888,552.0860720900984,532.6900506477876,535.28955078125,22841243
2024-11-01,537.888948043266,549.9644578765617,535.4894190333065,548.6867065429688,60456577
2024-11-04,547.6870167136691,555.6853668986736,545.487458208279,549.4866333007812,70334115
2024-11-05,546.487200736587,560.2844023299936,541.288322421895,559.8844604492188,70942202
2024-11-06,569.8824169411477,592.0758358502845,569.8824169411477,573.881591796875,54569546
2024-11-07,569.8823759326273,571.4820213507821,545.687357592028,552.6859130859375,35214756
2024-11-08,554.0856701457193,558.4847257280334,545.8873497580274,553.0858764648438,16251044
2024-11-11,560.8842280461238,573.6815743424858,560.0344278671994,571.8819580078125,24901814
2024-11-12,568.6826475107088,573.881586984067,557.8848876953125,557.8848876953125,25377406
2024-11-13,553.2858397330094,563.2837764031212,553.2858397330094,557.4849243164062,69325927
2024-11-14,556.6851689815674,559.4845793835926,544.4876725628469,545.0875854492188,31254691
2024-11-15,541.0883721044146,542.8879885913645,533.8898451340491,538.6888427734375,26922515
2024-11-18,538.88877418385,543.8877424044795,532.2141264302802,539.0887451171875,11104095
2024-11-19,539.8885541492687,541.0883186963346,520.8924753921648,527.4910888671875,23901372
2024-11-20,525.891459729615,531.6902506932239,522.8920787805868,526.0914306640625,37026299
2024-11-21,526.0914520575138,545.287503116412,517.0933088445206,540.6884155273438,24308445
2024-11-22,540.0884564456037,546.2871882989382,535.6893406729014,545.4873046875,15593141
2024-11-25,549.086650364107,550.486324772829,534.8895692195621,542.4879760742188,31097848
2024-11-26,540.4884480093898,544.6875937399059,528.8908655370734,541.88818359375,16715296
2024-11-27,540.488441144907,548.0869097566137,537.8890019756117,539.4886474609375,11143921
2024-11-28,541.6881016233763,547.8868334767108,539.8884855427442,545.4873046875,6103950
2024-11-29,544.4875697851846,559.8844156238644,541.832112127203,558.4846801757812,24886536
2024-12-02,560.6842798814113,572.8817749023438,554.2856369846961,572.8817749023438,15108644
2024-12-03,571.6819631052516,591.2779541015625,570.0823177687421,591.2779541015625,30776283
2024-12-04,593.67751338423,599.6762758522874,590.0782803124225,594.6773071289062,20669150
2024-12-05,589.8782511384209,595.4770711469813,582.8796956164396,588.478515625,24770801
2024-12-06,588.0786691979821,591.6779021251963,581.8799360254999,586.279052734375,76888478
2024-12-09,587.0787819688865,587.8786046005666,576.8808756029371,582.27978515625,63254926
2024-12-10,578.4806363024868,582.2799013505852,564.483523876007,565.6832885742188,22921957
2024-12-11,564.2836048730377,577.0809523955608,562.2840174156883,576.8809814453125,38399196
2024-12-12,577.6807792667738,583.0796895774002,575.2813110351562,575.2813110351562,18755100
2024-12-13,574.081579160168,580.8801644047985,569.8824332370657,572.4818725585938,8075118
2024-12-16,572.8818053860861,586.2790657325883,572.0819826092575,583.6795654296875,10297107
2024-12-17,586.0790047021246,588.8784145020372,576.4809497877084,580.8800659179688,16452033
2024-12-18,580.8801031523286,589.8782458861857,578.4805740142757,586.6788940429688,17620383
2024-12-19,577.6807304025573,586.3189617598528,571.6819687970841,579.4803466796875,16171546
2024-12-20,577.6807792667738,578.8805438938646,562.4839030429403,575.2813110351562,23870849
2024-12-23,575.0813813177118,584.879347933277,572.082000046259,575.4812622070312,6533098
2024-12-24,581.4800247499367,583.6795832201823,574.4814684498804,575.4812622070312,3908850
2024-12-27,575.4811473223655,581.0800278582336,571.0820922826362,577.8806762695312,8634979
2024-12-30,575.0813461693132,575.281317113035,567.0829966009571,570.2823486328125,8792530
2024-12-31,566.2831687222898,572.0819599023408,564.883433151473,568.482666015625,9132950
2025-01-02,568.8826036949297,588.4175738652624,566.8830163357208,588.2786254882812,16730522
2025-01-03,587.0788919120454,588.0786856445173,580.4802166641905,584.8793334960938,6438560
2025-01-06,579.6803509011277,579.8803218373081,558.284803226185,569.8823852539062,19109873
2025-01-07,569.6823728538783,579.9842620695578,565.4832275899684,576.48095703125,16269992
2025-01-08,574.2814438713385,584.279379446936,572.0818858401959,577.8806762695312,12009385
2025-01-09,572.6818277691664,584.6793523496206,571.0821822341321,581.2800903320312,18361106
2025-01-10,583.8795460668103,588.0786919930372,574.0815795873259,579.88037109375,12840746
2025-01-13,577.0809869425867,577.6808388066752,561.6841381902352,567.2830200195312,27535440
2025-01-14,569.6823424506804,580.280190505675,564.6833747896134,566.2830810546875,32926424
